group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
part one,,,,,1166500.0,ns,12
part one,,,,,2163625.0,ns,24
part one,,,,,3145208.0,ns,36
part one,,,,,4231208.0,ns,48
part one,,,,,5240458.0,ns,60
part one,,,,,6343375.0,ns,72
part one,,,,,7393458.0,ns,84
part one,,,,,8550708.0,ns,96
part one,,,,,9611416.0,ns,108
part one,,,,,10491541.0,ns,120
part one,,,,,11549375.0,ns,132
part one,,,,,12624333.0,ns,144
part one,,,,,13671125.0,ns,156
part one,,,,,14753416.0,ns,168
part one,,,,,15755666.0,ns,180
part one,,,,,16860875.0,ns,192
part one,,,,,17885833.0,ns,204
part one,,,,,18969625.0,ns,216
part one,,,,,19938458.0,ns,228
part one,,,,,21016541.0,ns,240
part one,,,,,22106500.0,ns,252
part one,,,,,23092833.0,ns,264
part one,,,,,24161708.0,ns,276
part one,,,,,25204416.0,ns,288
part one,,,,,26291541.0,ns,300
part one,,,,,27256500.0,ns,312
part one,,,,,28355666.0,ns,324
part one,,,,,29472375.0,ns,336
part one,,,,,30495500.0,ns,348
part one,,,,,31509250.0,ns,360
part one,,,,,32568625.0,ns,372
part one,,,,,33632708.0,ns,384
part one,,,,,34765041.0,ns,396
part one,,,,,35766083.0,ns,408
part one,,,,,36907500.0,ns,420
part one,,,,,37959708.0,ns,432
part one,,,,,38965500.0,ns,444
part one,,,,,40049708.0,ns,456
part one,,,,,41091125.0,ns,468
part one,,,,,42196583.0,ns,480
part one,,,,,43215166.0,ns,492
part one,,,,,44236916.0,ns,504
part one,,,,,45284250.0,ns,516
part one,,,,,46406791.0,ns,528
part one,,,,,47818250.0,ns,540
part one,,,,,48404708.0,ns,552
part one,,,,,50074458.0,ns,564
part one,,,,,50649416.0,ns,576
part one,,,,,51649083.0,ns,588
part one,,,,,52690000.0,ns,600
part one,,,,,53709458.0,ns,612
part one,,,,,54816958.0,ns,624
part one,,,,,55781541.0,ns,636
part one,,,,,56896375.0,ns,648
part one,,,,,57900208.0,ns,660
part one,,,,,59067500.0,ns,672
part one,,,,,60074708.0,ns,684
part one,,,,,61063458.0,ns,696
part one,,,,,62202416.0,ns,708
part one,,,,,63305458.0,ns,720
part one,,,,,64273750.0,ns,732
part one,,,,,65551791.0,ns,744
part one,,,,,66520375.0,ns,756
part one,,,,,67428458.0,ns,768
part one,,,,,68530791.0,ns,780
part one,,,,,69556375.0,ns,792
part one,,,,,70577875.0,ns,804
part one,,,,,71795375.0,ns,816
part one,,,,,72789291.0,ns,828
part one,,,,,73727875.0,ns,840
part one,,,,,74894750.0,ns,852
part one,,,,,75877375.0,ns,864
part one,,,,,76962958.0,ns,876
part one,,,,,78033250.0,ns,888
part one,,,,,79140416.0,ns,900
part one,,,,,80450333.0,ns,912
part one,,,,,81182875.0,ns,924
part one,,,,,82238916.0,ns,936
part one,,,,,83182291.0,ns,948
part one,,,,,84277916.0,ns,960
part one,,,,,85444333.0,ns,972
part one,,,,,86454000.0,ns,984
part one,,,,,87410666.0,ns,996
part one,,,,,88486708.0,ns,1008
part one,,,,,89566416.0,ns,1020
part one,,,,,90688000.0,ns,1032
part one,,,,,91589875.0,ns,1044
part one,,,,,93093958.0,ns,1056
part one,,,,,93818791.0,ns,1068
part one,,,,,94697833.0,ns,1080
part one,,,,,95848958.0,ns,1092
part one,,,,,96972041.0,ns,1104
part one,,,,,97970875.0,ns,1116
part one,,,,,98963375.0,ns,1128
part one,,,,,99991291.0,ns,1140
part one,,,,,101075208.0,ns,1152
part one,,,,,102255875.0,ns,1164
part one,,,,,103519416.0,ns,1176
part one,,,,,104379541.0,ns,1188
part one,,,,,105325916.0,ns,1200
